meanRMSE,sdRMSE,methods,year,beach,maxBS
1.49358421277552,0.425929352767607,SVR AggOut,2014,3,7
1.35301602323092,0.379896205753267,SVR full,2014,3,7
0.861487993503856,0.315587087903927,LM AggOut,2014,4,7
1.59504112162865,0.988385031785643,LM full,2014,4,7
0.833739883620778,0.300166137255267,KNN AggOut,2014,4,7
0.485583703170765,0.303007081332052,KNN full,2014,4,7
0.785597949162608,0.30290123015719,SVR AggOut,2014,4,7
0.563065716310271,0.313946477927031,SVR full,2014,4,7
1.04989271428596,0.251947662611695,LM AggOut,2014,5,7
0.925873711451536,0.188065187968733,LM full,2014,5,7
1.0750339257056,0.243739584703477,KNN AggOut,2014,5,7
0.896371372310374,0.220313945071961,KNN full,2014,5,7
0.965164459275308,0.256646512299112,SVR AggOut,2014,5,7
0.852680906547904,0.209678992998308,SVR full,2014,5,7
1.73806922820946,0.402792051581713,LM AggOut,2014,6,7
1.57437402297049,0.281054962854562,LM full,2014,6,7
1.74246355319797,0.436896967359493,KNN AggOut,2014,6,7
1.5242462032786,0.286108439591618,KNN full,2014,6,7
1.61916793429485,0.452981354914805,SVR AggOut,2014,6,7
1.3515523743974,0.394138097058021,SVR full,2014,6,7
2.3240951207045,0.354271042904384,LM AggOut,2014,7,7
2.22641466048474,0.304623616466833,LM full,2014,7,7
2.40899431632323,0.330999487339592,KNN AggOut,2014,7,7
2.33938907959008,0.282486516252958,KNN full,2014,7,7
2.29475863370801,0.481652392499551,SVR AggOut,2014,7,7
2.1583270714965,0.41725227110623,SVR full,2014,7,7
3.41274698110787,1.23673576046027,LM AggOut,2015,1,1
3.5289541029359,0.92813747294219,LM full,2015,1,1
3.49649780798875,1.14435750612495,KNN AggOut,2015,1,1
3.82056657707508,1.04339305688601,KNN full,2015,1,1
3.42818060939157,1.0027994030387,SVR AggOut,2015,1,1
3.34149363385417,0.92339236476881,SVR full,2015,1,1
1.28022841223227,0.731973825079652,LM AggOut,2015,2,1
2.07819422353756,0.587779614385891,LM full,2015,2,1
1.32100685982096,0.782067666612605,KNN AggOut,2015,2,1
1.52984114989063,0.585295319238192,KNN full,2015,2,1
1.34895211609843,0.697157611952732,SVR AggOut,2015,2,1
1.53824219256596,0.631480636726158,SVR full,2015,2,1
1.40087729399738,0.277277916276646,LM AggOut,2015,3,1
1.60627246007585,0.387312606829904,LM full,2015,3,1
1.47048266144979,0.329353240102663,KNN AggOut,2015,3,1
1.4068010309211,0.436199992484076,KNN full,2015,3,1
1.33721243047506,0.332648156281569,SVR AggOut,2015,3,1
1.33949563615633,0.368269024386257,SVR full,2015,3,1
0.565968483720571,0.188797082159546,LM AggOut,2015,4,1
1.5183882625695,0.774192351111871,LM full,2015,4,1
0.680342257949756,0.125848170826783,KNN AggOut,2015,4,1
0.528166794450349,0.299177079051367,KNN full,2015,4,1
0.497382421331481,0.252854367524428,SVR AggOut,2015,4,1
0.568068264619896,0.317033473925846,SVR full,2015,4,1
0.918853697487586,0.139669554583984,LM AggOut,2015,5,1
0.908130493255712,0.211240148337533,LM full,2015,5,1
1.22823030033415,0.198288416878786,KNN AggOut,2015,5,1
0.908508440889848,0.189768219716719,KNN full,2015,5,1
0.857935511481666,0.186604661832227,SVR AggOut,2015,5,1
0.842045367054341,0.2084938905817,SVR full,2015,5,1
1.39241886504453,0.364483403389417,LM AggOut,2015,6,1
1.4422366971381,0.381331143695421,LM full,2015,6,1
1.65069789160167,0.397972369579071,KNN AggOut,2015,6,1
1.40420128103332,0.395813671084341,KNN full,2015,6,1
1.32694534135301,0.375241063610414,SVR AggOut,2015,6,1
1.3248448104457,0.408379017454222,SVR full,2015,6,1
2.12179110890864,0.292467105599528,LM AggOut,2015,7,1
2.21112225777689,0.332952421719419,LM full,2015,7,1
2.25126975947442,0.272643031219404,KNN AggOut,2015,7,1
2.26206457716189,0.290438078039906,KNN full,2015,7,1
2.19355493111822,0.34006013216671,SVR AggOut,2015,7,1
2.15981890053687,0.339174489188028,SVR full,2015,7,1
3.5796856733836,1.21467386012817,LM AggOut,2015,1,2
3.70308079460461,0.940639458228992,LM full,2015,1,2
3.6329871061061,1.18022570217292,KNN AggOut,2015,1,2
3.68221150604842,1.00261251323742,KNN full,2015,1,2
3.58202650461793,1.01995190766213,SVR AggOut,2015,1,2
3.34149363385417,0.92339236476881,SVR full,2015,1,2
1.70350861329793,0.744430758376032,LM AggOut,2015,2,2
2.00017900865564,0.65670040675959,LM full,2015,2,2
1.62769842260415,0.763791007259877,KNN AggOut,2015,2,2
1.6086403196953,0.577270164420574,KNN full,2015,2,2
1.60240937984727,0.728609311753978,SVR AggOut,2015,2,2
1.53824219256596,0.631480636726158,SVR full,2015,2,2
1.34394917878293,0.357919432983259,LM AggOut,2015,3,2
1.60883656127875,0.374932814464904,LM full,2015,3,2
1.43458876587342,0.372759757644602,KNN AggOut,2015,3,2
1.36543930399618,0.333054005094986,KNN full,2015,3,2
1.35289390465794,0.388524134870886,SVR AggOut,2015,3,2
1.33949563615633,0.368269024386257,SVR full,2015,3,2
0.582875228065364,0.276172014756323,LM AggOut,2015,4,2
1.63396598589719,0.984239966976723,LM full,2015,4,2
0.647733698435362,0.201986546284292,KNN AggOut,2015,4,2
0.500000828351565,0.289722425972716,KNN full,2015,4,2
0.568652539966047,0.284957252491593,SVR AggOut,2015,4,2
0.568068264619896,0.317033473925846,SVR full,2015,4,2
0.88606295291967,0.198938703214567,LM AggOut,2015,5,2
0.889600804266535,0.183505447068437,LM full,2015,5,2
1.12063916045815,0.165932052772709,KNN AggOut,2015,5,2
0.917329939749237,0.193702351621629,KNN full,2015,5,2
0.890113897068761,0.240523545516683,SVR AggOut,2015,5,2
0.842045367054341,0.2084938905817,SVR full,2015,5,2
1.51316701917224,0.417583342539182,LM AggOut,2015,6,2
1.49018157258091,0.349946642377092,LM full,2015,6,2
1.51898544190397,0.394953488551683,KNN AggOut,2015,6,2
1.45098804076157,0.357002503355403,KNN full,2015,6,2
1.42573452321126,0.44055612661619,SVR AggOut,2015,6,2
1.3248448104457,0.408379017454222,SVR full,2015,6,2
2.18486333322149,0.351208105997098,LM AggOut,2015,7,2
2.22230203336573,0.269553010632945,LM full,2015,7,2
2.29371738537058,0.359406186834557,KNN AggOut,2015,7,2
2.26227886668665,0.290088657711507,KNN full,2015,7,2
2.24818177629742,0.376716274865111,SVR AggOut,2015,7,2
2.15981890053687,0.339174489188028,SVR full,2015,7,2
3.67019259129532,1.15190334651576,LM AggOut,2015,1,3
3.41085921642586,0.914182617850837,LM full,2015,1,3
3.9689283379979,1.09277220989705,KNN AggOut,2015,1,3
3.84055089716407,0.924187229093361,KNN full,2015,1,3
3.66632386186963,1.01542100157799,SVR AggOut,2015,1,3
3.34149363385417,0.92339236476881,SVR full,2015,1,3
1.72575168066267,0.73598997096643,LM AggOut,2015,2,3
